state,state_code,votesmart,title,party,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openley_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address,website,contact_page,facebook_url,twitter_url,photo_url
Hawaii,HI,3406,governor,democrat,David,,Ige,,,DAY-vid EE-gay,male,pacific-islander,unspecified,no,1957-01-15,2014-12-01,2019-01-01,"David Yutaka Ige (born January 15, 1957) is an American politician who serves as the eighth and current Governor of Hawaii, in office since 2014. A Democrat, he previously served in the Hawaii State Senate, representing the 16th district, from 1995 to 2014. In the 2014 Hawaii gubernatorial election, he won the Democratic primary by defeating incumbent Governor Neil Abercrombie with 66% of the vote.",808-586-0034,808-586-0006,21.307764,-157.8594961,"415 South Beretania Street, Honolulu, HI 96813",http://governor.hawaii.gov,https://governor.hawaii.gov/contact-us/contact-the-governor/,https://www.facebook.com/GovernorDavidIge,https://twitter.com/GovHawaii,
Idaho,ID,1679,governor,republican,Clement,Leroy,Otter,,Butch,BUUCH AH-ter,male,white-american,roman-catholic,no,1942-05-03,2007-01-01,2019-01-01,"Clement Leroy ""Butch"" Otter (born May 3, 1942) is an American businessman and politician who has served as the 32nd Governor of Idaho since January 2007. He is a member of the Republican Party. Having served for 10 years, 116 days, Otter is currently the longest-serving incumbent Governor in the United States whose time in office has run consecutively.",208-334-2100,208-334-3454,43.6174911,-116.2025323,"P.O. Box 83720, Boise, ID 83720",http://gov.idaho.gov/,https://gov.idaho.gov/ourgov/contact.html,https://www.facebook.com/Governor-C-L-Butch-Otter-292986829831/,https://twitter.com/butchotter,
Illinois,IL,147492,governor,republican,Bruce,,Rauner,,,BROOS ROW-ner,male,white-american,unspecified,no,1957-01-12,2015-01-12,2019-01-01,"Bruce Vincent Rauner (born February 18, 1957) is an American businessman, philanthropist, and politician. He is the 42nd and current Governor of Illinois, serving since January 12, 2015. Prior to his election, he was the Chairman of R8 Capital Partners and Chairman of the private equity firm GTCR, based in Chicago.",312-814-2121,,39.7984385,-89.6573079,"207 State House, Springfield, IL 62706",https://www.illinois.gov/gov/pages/default.aspx,https://www.illinois.gov/gov/contactus/Pages/default.aspx,https://www.facebook.com/GovRauner,https://twitter.com/GovRauner,
Indiana,IN,34349,governor,republican,Eric,Joseph,Holcomb,,,E-rik HAWL-koam,male,white-american,church-of-god,no,1968-05-02,2017-01-09,2019-01-01,"Eric Joseph Holcomb (born May 2, 1968) is an American politician who serves as the 51st and current Governor of Indiana since January 2017. Prior to his election to the governorship, he was also the 51st Lieutenant Governor of Indiana under Governor Mike Pence, now the 48th and current Vice President of the United States.",317-232-4567,317-232-3443,39.7984385,-89.6573079,"State House, Room 206 Indianapolis, IN 46204 ",http://www.in.gov/gov/,http://www.in.gov/core/help.html,https://www.facebook.com/GovHolcomb,https://twitter.com/GovHolcomb,
Iowa,IA,103324,governor,republican,Kimberly,Kay,Reynolds,,Kim,KIM RE-neldz,female,white-american,unspecified,no,1959-08-04,2017-05-24,2019-01-01,"Kimberly Kay Reynold is an American politician serving as the 43rd and current Governor of Iowa since 2017. A Republican, she previously served as the Lieutenant Governor of Iowa from 2011 to 2017 and assumed the governorship when incumbent Governor Terry Branstad became the United States Ambassador to China. Reynolds is the first female Governor of Iowa.",515-281-5211,,41.5912077,-93.6059486,"1007 East Grand Ave., Des Moines, IA 50319",https://governor.iowa.gov,https://governor.iowa.gov/contact,https://www.facebook.com/IAGovernor,https://twitter.com/kimreynoldsia,
Kansas,KS,34449,governor,republican,Jeffrey,William,Colyer,,Jeff,JEF KAWL-ee-er,male,white-american,unspecified,no,1960-06-03,2018-01-31,2019-01-01,"Jeffrey William Colyer (born June 3, 1960) is an American surgeon and politician who has served as the 47th Governor of Kansas since 2018. A member of the Republican Party, he previously served as the 49th Lieutenant Governor of Kansas from 2011 until 2018, as a member of the Kansas Senate from 2009 to 2011, and in the Kansas House of Representatives from 2007 to 2009.",785-296-3232,,39.0481528,-95.6803429,"300 Southwest, 10th Avenue, Suite 241S, Topeka, KS 66612",https://governor.kansas.gov/,https://governor.kansas.gov/contact/contact-the-governor/,https://www.facebook.com/DrJeffColyer/,https://twitter.com/drjeffcolyer,
Kentucky,KY,146094,governor,republican,Matthew,Griswold,Bevin,,Matt,MAT BE-vin,male,white-american,christian,no,1967-01-09,2015-12-08,2019-01-01,"Matthew Griswold ""Matt"" Bevin (born January 9, 1967) is an American businessman and politician who currently serves as the 62nd Governor of Kentucky. He is the third Republican elected Governor of Kentucky since World War II, after Ernie Fletcher (2003–2007) and Louie B. Nunn (1967–1971).",502-564-2611,502-564-2517,38.1867792,-84.877415,"700 Capitol Avenue, Suite 100, Frankfort, KY 40601",http://governor.ky.gov,http://governor.ky.gov/pages/contact.aspx,https://www.facebook.com/GovMattBevin,https://twitter.com/GovMattBevin,
Louisiana,LA,72012,governor,democrat,John,Bel,Edwards,,,JOAN ED-werdz,male,white-american,unspecified,no,1966-09-16,2016-01-11,2019-01-01,"John Bel Edwards (born September 16, 1966) is an American politician and lawyer who is the 56th and current Governor of Louisiana, in office since January 11, 2016. He was previously the Minority Leader of the Louisiana House of Representatives and represented the 72nd District for two terms. He left the state legislature to run for governor in 2015.",623-773-7328,,33.5766177,-112.242531,"8401 West Monroe Street, Peoria, AZ 85345",http://gov.louisiana.gov/,http://gov.louisiana.gov/page/contact,https://www.facebook.com/LouisianaGov,https://twitter.com/louisianagov,
Maine,ME,120907,governor,republican,Paul,Richard,LePage,,,PA-ul LEE-payj,male,white-american,unspecified,no,1948-10-09,2011-01-05,2019-01-01,"Paul Richard LePage (born October 9, 1948) is an American businessman and Republican Party politician who is currently the 74th Governor of Maine. Born in Lewiston, LePage grew up with seventeen siblings. After some initial difficulty entering college due to speaking French as his first language, he succeeded in obtaining a Bachelor of Science in business administration in finance and accounting from Husson College, later earning a Master of Business Administration from the University of Maine.",207-287-3531,207-287-1034,44.3044824,-69.7835823,"Office of the Governor, Number 1, State House Station, Augusta, ME 04333",http://www.maine.gov/governor/lepage/,http://www.maine.gov/governor/lepage/citizen_services/ideas-suggestions.shtml,https://www.facebook.com/mainesgov,https://twitter.com/Governor_LePage,
Maryland,MD,147764,governor,republican,Lawrence,Joseph,Hogan,Jr.,Larry,LA-ree HOH-gen,male,white-american,unspecified,no,1956-05-25,2015-01-21,2019-01-01,"Lawrence Joseph ""Larry"" Hogan Jr. (born May 25, 1956) is an American politician who currently serves as the 62nd Governor of Maryland, in office since January 2015. He is only the second Republican governor in Maryland in nearly 50 years, and the first Maryland governor from Anne Arundel County to be elected in over 100 years.",410-974-3901,,38.9788597,-76.4932177,"100 State Circle, Annapolis, MD 21401",http://governor.maryland.gov/,http://governor.maryland.gov/mail/default.asp,https://www.facebook.com/larryhoganmd,https://twitter.com/LarryHogan,
Massachusetts,MA,124824,governor,republican,Charles,Duane,Baker,Jr.,Charlie,CHARR-lee BAY-ker,male,white-american,protestant,no,1956-11-13,2015-01-08,2019-01-01,"Charles Duane ""Charlie"" Baker Jr. (born November 13, 1956), is an American businessman and the 72nd and current Governor of Massachusetts, having been sworn into office on January 8, 2015. He was a cabinet official under two Massachusetts governors, spent ten years as CEO of Harvard Pilgrim Health Care and was also the Republican nominee for governor of Massachusetts in an unsuccessful 2010 bid.",617-725-4005,617-727-9725,42.3587723,-71.0660006,"Massachusetts State House, Office of the Governor, Room 280 Boston, MA 02133",http://www.mass.gov/governor/,http://www.mass.gov/governor/constituent-services/contact-governor-office/,https://www.facebook.com/CharlieBakerMA,https://twitter.com/massgovernor,
Michigan,MI,124011,governor,republican,Richard,Dale,Snyder,,Rick,RIK SNY-der,male,white-american,unspecified,no,1958-08-19,2011-01-01,2019-01-01,"Richard Dale ""Rick"" Snyder (born August 19, 1958) is an American politician, business executive, venture capitalist, and accountant. He is the 48th and current Governor of Michigan. A member of the Republican Party, he assumed office as governor on January 1, 2011. From 2005 to 2007, Snyder served as the chairman of the board of Gateway, Inc., based in Irvine, California.",517-373-3400,517-335-6863,42.6800039,-84.502194,"Post Office Box 30013, Lansing, MI 48909",http://www.michigan.gov/snyder,https://somgovweb.state.mi.us/GovRelations/ShareOpinion.aspx,https://www.facebook.com/GovernorRickSnyder,https://twitter.com/onetoughnerd,
Minnesota,MN,20301,governor,democrat,Mark,Brandt,Dayton,,,MARK DAY-ten,male,white-american,presbyterian,no,1947-01-26,2011-01-03,2019-01-01,"Mark Brandt Dayton (born January 26, 1947) is an American politician who is the 40th and current Governor of Minnesota, serving since 2011. He was previously a United States Senator for Minnesota from 2001 to 2007, and the Minnesota State Auditor from 1991 to 1995. He is a member of the Minnesota Democratic–Farmer–Labor Party (DFL), which affiliates with the national Democratic Party.",651-201-3400,651-797-1850,44.9551538,-93.104427,"130 State Capitol, 75 Reverend Dr. Martin Luther King Jr. Boulevard, Saint Paul, MN 55155",https://mn.gov/governor/,https://mn.gov/governor/contact-us/form/,https://www.facebook.com/GovMarkDayton,https://twitter.com/GovMarkDayton,
Mississippi,MS,2126,governor,republican,Dewey,Phillip,Bryant,,Phil,FIL BRY-ant,male,white-american,united-methodist,no,1954-12-09,2012-01-10,2019-01-01,"Dewey Phillip ""Phil"" Bryant (born December 9, 1954) is an American politician from the state of Mississippi who has served as the 64th Governor of Mississippi since 2012. He previously served as the 31st Lieutenant Governor of Mississippi from 2008 to 2012 and as the 40th State Auditor of Mississippi from 1996 to 2008.",601-359-3150,601-359-3741,32.3504041,-90.1551408,"P.O. Box 139, Jackson, MS 39205",http://www.governorbryant.ms.gov/,http://www.governorbryant.ms.gov/Pages/Contact.aspx,https://www.facebook.com/im4phil,https://twitter.com/PhilBryantMS,
Missouri,MO,169028,governor,republican,Eric,Robert,Greitens,,,E-rik GRY-tenz,male,white-american,unspecified,no,1974-04-10,2017-01-09,2019-01-01,"Eric Robert Greitens (born April 10, 1974) is an American politician, author, and former Navy SEAL currently serving as the 56th Governor of Missouri, since January 2017. He is currently the second youngest Governor in the United States, after New Hampshire's Chris Sununu, also born in 1974.",573-751-3222,,38.5774764,-92.1758644,"201 West Capitol Avenue, Room 216, Post Office Box 720, Jefferson City, MO 65101",https://governor.mo.gov/,https://governor.mo.gov/get-involved/contact-the-governors-office,https://www.facebook.com/EricGreitens,https://twitter.com/EricGreitens,
Montana,MT,110899,governor,democrat,Stephen,Clark,Bullock,,,STEE-ven BUU-luhk,male,white-american,unspecified,no,1966-04-11,2013-01-07,2019-01-01,"Stephen Clark Bullock (born April 11, 1966) is an American politician and lawyer who is the 24th and current Governor of Montana, serving since 2013. He is a member of the Democratic Party.",406-444-3111,406-444-5529,46.5300037,-112.162194,"Office of the Governor, Post Office Box 200801, Helena, MT 59620",http://governor.mt.gov/,http://governor.mt.gov/Home/Contact/shareopinion,https://www.facebook.com/GovernorBullock,https://twitter.com/GovernorBullock,
Nebraska,NE,57777,governor,republican,John,Peter,Ricketts,,Pete,PEET RI-kits,male,white-american,roman-catholic,no,1964-08-19,2015-01-08,2019-01-01,"Ricketts was born in Nebraska City, Nebraska, and now lives in Omaha. He attended the University of Chicago for both his bachelor and graduate studies, and received an MBA in marketing and finance from the university's Graduate School of Business.",402-471-2244,402-471-6031,40.800004,-96.672194,"Office of the Governor, Post Office Box 94848, Lincoln, NE 68509-4848",https://governor.nebraska.gov/,https://governor.nebraska.gov/contact-form,https://www.facebook.com/GovernorPeteRicketts,https://twitter.com/GovRicketts,
Nevada,NV,9067,governor,republican,Brian,Edward,Sandoval,,,BRI-an SAND-OH-val,male,white-american,unspecified,no,1963-08-05,2011-01-03,2019-01-01,"Brian Edward Sandoval (born August 5, 1963) is an American politician and attorney who is the 29th and current Governor of Nevada. A member of the Republican Party, Sandoval is a former United States District Judge of the United States District Court for the District of Nevada. On June 9, 2010, Sandoval defeated his GOP challengers (including the then-incumbent governor Jim Gibbons) to win the Republican nomination for the 2010 gubernatorial election.",775-684-5670,775-684-5683,39.1641639,-119.7683391,"State Capitol, 101 North Carson Street, Carson City, NV 89701",http://gov.nv.gov/,http://gov.nv.gov/Contact/Email-the-Governor/,https://www.facebook.com/BrianSandoval,https://twitter.com/GovSandoval,
New Hampshire,NH,125989,governor,republican,Christopher,T.,Sununu,,Chris,KRIS SUU-NOO-noo,male,white-american,roman-catholic,no,1974-11-05,2017-01-05,2019-01-01,"Christopher T. ""Chris"" Sununu (born November 5, 1974) is an American politician and businessman who serves as the 82nd and current Governor of New Hampshire, since January 2017. Sununu was previously a member of the New Hampshire Executive Council, an office he held from (2011-2017). At age 42, Sununu is currently the youngest state Governor in the United States.",603-271-2121,603-271-7680,43.2069998,-71.5403939,"107 North Main Street, Concord, NH 03301",http://www.governor.nh.gov/,https://business.nh.gov/nhgovernor/comments.asp,https://www.facebook.com/GovernorChrisSununu,https://twitter.com/GovChrisSununu,
New Jersey,NJ,176221,governor,democrat,Philip,Dunton,Murphy,,Phil,FIL MUR-fee,male,white-american,unspecified,no,1957-08-16,2018-01-16,2022-01-01,"Philip Dunton Murphy (born August 16, 1957) is an American financier, diplomat, and politician currently serving as the 56th Governor of New Jersey. Murphy, a Democrat, defeated then Lieutenant Governor Kim Guadagno in the 2017 gubernatorial election.",609-292-6000,,40.220707,-74.763027,"Office of the Governor, Post Office Box 001, Trenton, NJ 08625",http://www.nj.gov/governor/,http://www.nj.gov/governor/contact/,https://www.facebook.com/PhilMurphyNJ,https://twitter.com/philmurphynj,
New Mexico,NM,121633,governor,republican,Susana,,Martinez,,,SOO-ZA-nuh MARR-TEE-nez,female,hispanic-american,unspecified,no,1959-07-14,2011-01-01,2019-01-01,"Susana Martinez (born July 14, 1959) is an American politician and attorney who is the 31st Governor of New Mexico and chairwoman of the Republican Governors Association. A Republican, Martinez was elected governor on November 2, 2010 and sworn into office on January 1, 2011. She is the first woman to be elected governor of New Mexico and the first Hispanic woman governor in the United States.",505-476-2200,505-476-2226,35.6819673,-105.941017,"Office of the Governor, 490 Old Santa Fe Trail, Room 400, Santa Fe, NM 87501",http://www.governor.state.nm.us/,http://www.governor.state.nm.us/Contact_the_Governor.aspx,https://www.facebook.com/SusanaMartinezFan,https://twitter.com/Gov_Martinez,
New York,NY,45083,governor,democrat,Andrew,Mark,Cuomo,,,AN-droo KWOH-moh,male,white-american,roman-catholic,no,1957-12-06,2011-01-01,2019-01-01,"Andrew Mark Cuomo (born December 6, 1957) is an American politician and attorney who has been the 56th Governor of New York since January 1, 2011. A member of the Democratic Party, he was elected in 2010, holding the same position his father, Mario Cuomo, held for three terms from 1983 to 1995.",518-474-8390,,42.6497791,-73.7618584,"Governor of New York State, NYS State Capitol Building, Albany, NY 12224",http://www.governor.ny.gov/,http://www.governor.ny.gov/contact-iframe,https://www.facebook.com/GovernorAndrewCuomo,https://twitter.com/nygovcuomo,
North Carolina,NC,5900,governor,democrat,Roy,Asberry,Cooper,III,,ROY KOO-per,male,white-american,presbyterian,no,1957-06-13,2017-01-01,2019-01-01,"Roy Asberry Cooper III (born June 13, 1957) is an American politician and attorney who is the 75th and current Governor of North Carolina, since January 2017. Prior to his governorship, Cooper had served as the Attorney General of North Carolina from 2001 to 2017 and was previously a member of the North Carolina State Senate.",919-814-2000,,35.8093599,-78.7094088,"20301 Mail Service Center, Raleigh, NC 27699",https://governor.nc.gov/,https://governor.nc.gov/contact-governor-cooper,https://www.facebook.com/NCgovernor,https://twitter.com/NC_Governor,
North Dakota,ND,170745,governor,republican,Douglas,J.,Burgum,,Doug,DOAG BUR-gum,male,white-american,unspecified,no,1956-08-01,2016-12-15,2019-01-01,"Douglas J. Burgum (born August 1, 1956) is an American entrepreneur, philanthropist and politician serving as the 33rd and current Governor of North Dakota since December 15, 2016. He is a member of the Republican Party.",701-328-2200,701-328-2205,46.8207013,-100.7849455,"600 East Boulevard, Avenue Bismarck, ND 58505",https://www.governor.nd.gov/,https://www.governor.nd.gov/contact-us,https://www.facebook.com/GovernorDougBurgum,https://twitter.com/DougBurgum,
Ohio,OH,27017,governor,republican,John,Richard,Kasich,,,JOAN KA-sich,male,white-american,christian,no,1952-05-13,2011-01-10,2019-01-01,"John Richard Kasich (born May 13, 1952) is an American politician and former television host. He is the 69th and current Governor of Ohio. First elected in 2010 and re-elected in 2014, Kasich is a member of the Republican Party.[2] His second term is set to end on January 14, 2019, due to term limits.",614-466-3555,,39.9604503,-83.0033678,"Riffe Center, 30th Floor, 77 South High Street, Columbus, OH 43215",http://governor.ohio.gov/,http://governor.ohio.gov/Contact/ContacttheGovernor.aspx,https://www.facebook.com/JohnKasich,https://twitter.com/OHPressSec,
Oklahoma,OK,1699,governor,republican,Mary,,Fallin,,,ME-ree FAW-lin,female,white-american,christian,no,1954-12-09,2011-01-10,2019-01-01,"Mary Fallin (born December 9, 1954) is an American politician who is the 27th and current Governor of Oklahoma. A member of the Republican Party, Fallin was elected governor in 2010 and re-elected in 2014.",405-521-2342,405-521-3353,35.4921098,-97.5055107,"Oklahoma State Capitol, 2300 North Lincoln Boulevard, Room 212, Oklahoma City, OK 73105",https://www.ok.gov/governor/,https://www.ok.gov/triton/modules/formbuilder/form.php?form_id=0d5f27f90f279a5b64535ec11836feaa07db37cbb20807e960b2c0aa58b9f358,https://www.facebook.com/GovernorMaryFallin,https://twitter.com/GovMaryFallin,
Oregon,OR,2990,governor,democrat,Katherine,,Brown,,Kate,KAYT BROWN,female,white-american,unspecified,no,1960-06-21,2015-02-18,2019-01-01,"Katherine ""Kate"" Brown (born June 21, 1960) is an American politician who is the 38th and current Governor of Oregon. Brown, a Democrat and an attorney, previously served as Oregon Secretary of State and as majority leader of the Oregon State Senate, where she represented portions of Milwaukie and of Northeast and Southeast Portland.",503-378-4582,,44.9382486,-123.032757,"160 State Capitol, 900 Court Street, Salem, OR 97301-4047",http://www.oregon.gov/gov/pages/index.aspx,http://www.oregon.gov/gov/Pages/share-your-opinion.aspx,https://www.facebook.com/oregongovernor,https://twitter.com/OregonGovBrown,
Pennsylvania,PA,77203,governor,democrat,Thomas,Westerman,Wolf,,Tom,TAWM WAWLF,male,white-american,unspecified,no,1948-11-17,2015-01-20,2019-01-01,"Thomas Westerman ""Tom"" Wolf (born November 17, 1948) is an American businessman and politician who is the 47th and current Governor of Pennsylvania, since taking office on January 20, 2015. A Democrat, he defeated Republican incumbent Tom Corbett in the 2014 gubernatorial election. Previously, Wolf served as the Secretary of the Pennsylvania Department of Revenue from April 2007 until November 2008 and as an executive in his family-owned business.",717-787-2500,717-772-8284,40.2645516,-76.8860975,"508 Main Capitol Building, Harrisburg, PA 17120",https://www.governor.pa.gov/,https://www.governor.pa.gov/contact/,https://www.facebook.com/governorwolf,https://twitter.com/governortomwolf,
Rhode Island,RI,128028,governor,democrat,Gina,Marie,Raimondo,,,JEE-nuh RAY-mahn-doh,female,white-american,unspecified,no,1971-05-17,2015-01-06,2019-01-01,"Gina Marie Raimondo (born May 17, 1971) is an American politician, businesswoman, venture capitalist, and the 75th and current Governor of the State of Rhode Island. Raimondo, a member of the Democratic Party, is the first woman to serve as Governor of Rhode Island. Prior to her election as governor, she served as the General Treasurer for the State of Rhode Island and was the second Rhode Island woman to serve as Treasurer.",401-222-2080,401-222-8096,41.8310614,-71.4171496,"82 Smith Street, Providence, RI 02903",http://www.gov.ri.gov/,http://www.gov.ri.gov/contact/,https://www.facebook.com/GinaMRaimondo,https://twitter.com/ginaraimondo,
South Carolina,SC,48189,governor,republican,Henry,Dargan,McMaster,,,HEN-ree MUHK-MAS-ter,male,white-american,presbyterian,no,1947-05-27,2017-01-24,2019-01-01,"Henry Dargan McMaster (born May 27, 1947) is an American politician and attorney who is the 117th and current Governor of South Carolina. He assumed office on January 24, 2017. He previously served as the 91st Lieutenant Governor of South Carolina from 2015 to 2017, as well as Attorney General of South Carolina from 2003 to 2011.",803-734-2100,803-734-5167,34.0004102,-81.0350236,"The Honorable Henry McMaster, Office of the Governor, 1100 Gervais Street, Columbia, SC 29201",http://governor.sc.gov/Pages/default.aspx,http://governor.sc.gov/Contact/Pages/default.aspx,https://www.facebook.com/HenryMcMaster,https://twitter.com/SCGOVOFFICE,
South Dakota,SD,11218,governor,republican,Dennis,Martin,Daugaard,,,DE-nis DAH-gard,male,white-american,lutheran,no,1953-06-11,2011-01-08,2019-01-01,"Dennis Martin Daugaard (born June 11, 1953) is an American attorney and politician who has been the 32nd Governor of South Dakota since January 2011. He is the first governor of South Dakota or any state in the United States to be the child of deaf parents.",607-773-3212,,44.367069,-100.3484242,"Office of the Governor, 500 East Capitol Avenue, Pierre, SD 57501",http://sd.gov/governor/,http://sd.gov/governor/contact/contact.aspx,,https://twitter.com/SDGovDaugaard,
